Company,Ticker,Exchange,Currency
BW LPG,BWLPG.OL,Oslo Børs,NOK
BW OFFSHORE LTD,BWO.OL,Oslo Børs,NOK
BYGGMA,BMA.OL,Oslo Børs,NOK
CADELER,CADLR.OL,Oslo Børs,NOK
CAMBI,CAMBI.OL,Euronext Growth Oslo,NOK
CARASENT,CARA.OL,Oslo Børs,NOK
CARBON TRANSITION,CARBN.OL,Euronext Expand Oslo,NOK
CIRCA GROUP,CIRCA.OL,Euronext Growth Oslo,NOK
CLEAN SEAS SEAFOOD,CSS.OL,Euronext Growth Oslo,NOK
CLOUDBERRY CLEAN,CLOUD.OL,Oslo Børs,NOK
CONTEXTVISION,CONTX.OL,Oslo Børs,NOK
CRAYON GROUP HOLD,CRAYN.OL,Oslo Børs,NOK
CSAM HEALTH GROUP,CSAM.OL,Euronext Growth Oslo,NOK
CYVIZ,CYVIZ.OL,Euronext Growth Oslo,NOK
DEEP VALUE DRILLER,DVD.OL,Euronext Growth Oslo,NOK
DESERT CONTROL,DSRT.OL,Euronext Growth Oslo,NOK
DLT,DLTX.OL,Oslo Børs,NOK
DNB BANK,DNB.OL,Oslo Børs,NOK
DNO,DNO.OL,Oslo Børs,NOK
DOF,DOF.OL,Oslo Børs,NOK
EAM SOLAR,EAM.OL,Euronext Expand Oslo,NOK
ECIT AS B-AKSJER,ECIT.OL,Euronext Growth Oslo,NOK
ECOONLINE HOLDING,ECO.OL,Euronext Growth Oslo,NOK
EIDESVIK OFFSHORE,EIOF.OL,Oslo Børs,NOK
ELECTROMAGNET GEO,EMGS.OL,Oslo Børs,NOK
ELEKTROIMPORTØREN,ELIMP.OL,Euronext Growth Oslo,NOK
ELKEM,ELK.OL,Oslo Børs,NOK
ELLIPTIC LABORATOR,ELABS.OL,Euronext Growth Oslo,NOK
ELOP,ELOP.OL,Euronext Growth Oslo,NOK
ELOPAK,ELO.OL,Oslo Børs,NOK
ENDÚR,ENDUR.OL,Oslo Børs,NOK
ENSURGE MICROPOWER,ENSU.OL,Oslo Børs,NOK
ENTRA,ENTRA.OL,Oslo Børs,NOK
ENVIPCO HOLDING,ENVIP.OL,Euronext Growth Oslo,NOK
EQUINOR,EQNR.OL,Oslo Børs,NOK
EUROPRIS,EPR.OL,Oslo Børs,NOK
EVERFUEL,EFUEL.OL,Euronext Growth Oslo,NOK
EXACT THERAPEUTICS,EXTX.OL,Euronext Growth Oslo,NOK
FJORDKRAFT HOLDING,FKRFT.OL,Oslo Børs,NOK
FLEX LNG,FLNG.OL,Oslo Børs,NOK
FLYR,FLYR.OL,Euronext Growth Oslo,NOK
FRONTLINE,FRO.OL,Oslo Børs,NOK
FRØY,FROY.OL,Oslo Børs,NOK
GAMING INNOVATION,GIG.OL,Oslo Børs,NOK
GC RIEBER SHIPPING,RISH.OL,Oslo Børs,NOK
GENTIAN DIAGNOSTIC,GENT.OL,Oslo Børs,NOK
GIGANTE SALMON,GIGA.OL,Euronext Growth Oslo,NOK
GJENSIDIGE FORSIKR,GJF.OL,Oslo Børs,NOK
GNP ENERGY,GNP.OL,Euronext Growth Oslo,NOK
GOLDEN ENERGY OFF,GEOS.OL,Euronext Growth Oslo,NOK
GOLDEN OCEAN GROUP,GOGL.OL,Oslo Børs,NOK
GOODTECH,GOD.OL,Oslo Børs,NOK
GREEN MINERALS,GEM.OL,Euronext Growth Oslo,NOK
GRIEG SEAFOOD,GSF.OL,Oslo Børs,NOK
GRONG SPAREBANK,GRONG.OL,Euronext Growth Oslo,NOK
GYLDENDAL,GYL.OL,Oslo Børs,NOK
HAFNIA LIMITED,HAFNI.OL,Oslo Børs,NOK
HARMONYCHAIN,HMONY.OL,Euronext Growth Oslo,NOK
HAV GROUP,HAV.OL,Euronext Growth Oslo,NOK
HAVILA KYSTRUTEN,HKY.OL,Euronext Growth Oslo,NOK
HAVILA SHIPPING,HAVI.OL,Oslo Børs,NOK
HAVYARD GROUP,HYARD.OL,Oslo Børs,NOK
HEXAGON COMPOSITES,HEX.OL,Oslo Børs,NOK
HEXAGON PURUS,HPUR.OL,Euronext Growth Oslo,NOK
HOFSETH BIOCARE,HBC.OL,Oslo Børs,NOK
HØLAND OG SETSKOG,HSPG.OL,Oslo Børs,NOK
HORISONT ENERGI,HRGI.OL,Euronext Growth Oslo,NOK
HOUSE OF CONTROL,HOC.OL,Euronext Growth Oslo,NOK
HUDDLESTOCK FINTEC,HUDL.OL,Euronext Growth Oslo,NOK
HUDDLY,HDLY.OL,Euronext Growth Oslo,NOK
HUNTER GROUP,HUNT.OL,Euronext Expand Oslo,NOK
HYDROGENPRO,HYPRO.OL,Euronext Growth Oslo,NOK
HYNION,HYN.OL,Euronext Growth Oslo,NOK
ICE FISH FARM,IFISH.OL,Euronext Growth Oslo,NOK
ICE GROUP,ICEGR.OL,Euronext Expand Oslo,NOK
ICELANDIC SALMON,ISLAX.OL,Euronext Growth Oslo,NOK
IDEX BIOMETRICS,IDEX.OL,Oslo Børs,NOK
INDUCT,INDCT.OL,Euronext Growth Oslo,NOK
INSR INSURANCE GP,INSR.OL,Oslo Børs,NOK
INSTABANK,INSTA.OL,Euronext Growth Oslo,NOK
INTEGRATED WIND SO,IWS.OL,Euronext Growth Oslo,NOK
INTEROIL EXPL PROD,IOX.OL,Oslo Børs,NOK
ITERA,ITERA.OL,Oslo Børs,NOK
JÆREN SPAREBANK,JAREN.OL,Oslo Børs,NOK
JINHUI SHIPP TRANS,JIN.OL,Oslo Børs,NOK
KAHOOT!,KAHOT.OL,Oslo Børs,NOK
KALERA,KAL.OL,Euronext Growth Oslo,NOK
KID,KID.OL,Oslo Børs,NOK
KITRON,KIT.OL,Oslo Børs,NOK
KLAVENESS COMBINAT,KCC.OL,Euronext Expand Oslo,NOK
KMC PROPERTIES,KMCP.OL,Oslo Børs,NOK
KOMPLETT,KOMPL.OL,Oslo Børs,NOK
KOMPLETT BANK,KOMP.OL,Oslo Børs,NOK
KONGSBERG AUTOMOT,KOA.OL,Oslo Børs,NOK
KONGSBERG GRUPPEN,KOG.OL,Oslo Børs,NOK
KRAFT BANK,KRAB.OL,Euronext Growth Oslo,NOK
KYOTO GROUP,KYOTO.OL,Euronext Growth Oslo,NOK
LERØY SEAFOOD GP,LSG.OL,Oslo Børs,NOK
LIFECARE,LIFE.OL,Euronext Growth Oslo,NOK
LINK MOBILITY GRP,LINK.OL,Oslo Børs,NOK
LYTIX BIOPHARMA,LYTIX.OL,Euronext Growth Oslo,NOK
M VEST WATER,MVW.OL,Euronext Growth Oslo,NOK
MAGNORA,MGN.OL,Oslo Børs,NOK
MAGSEIS FAIRFIELD,MSEIS.OL,Oslo Børs,NOK
MÅSØVAL,MAS.OL,Euronext Growth Oslo,NOK
MEDISTIM,MEDI.OL,Oslo Børs,NOK
MELHUS SPAREBANK,MELG.OL,Oslo Børs,NOK
MELTWATER,MWTR.OL,Euronext Growth Oslo,NOK
MERCELL HOLDING,MRCEL.OL,Oslo Børs,NOK
MINTRA HOLDING,MNTR.OL,Euronext Growth Oslo,NOK
MOWI,MOWI.OL,Oslo Børs,NOK
MPC CONTAINER SHIP,MPCC.OL,Oslo Børs,NOK
MPC ENERGY SOLUTIO,MPCES.OL,Euronext Growth Oslo,NOK
MULTICONSULT,MULTI.OL,Oslo Børs,NOK
NAPATECH,NAPA.OL,Oslo Børs,NOK
NAVAMEDIC,NAVA.OL,Oslo Børs,NOK
NEKKAR,NKR.OL,Oslo Børs,NOK
NEL,NEL.OL,Oslo Børs,NOK
NETOIL CAPITAL,NOC.OL,Euronext Growth Oslo,NOK
NEXT BIOMETRICS GP,NEXT.OL,Oslo Børs,NOK
NIDAROS SPAREBANK,NISB.OL,Euronext Growth Oslo,NOK
NORBIT,NORBT.OL,Oslo Børs,NOK
NORCOD,NCOD.OL,Euronext Growth Oslo,NOK
NORDHEALTH A-AKSJE,NORDH.OL,Euronext Growth Oslo,NOK
NORDIC AQUA PART,NOAP.OL,Euronext Growth Oslo,NOK
NORDIC HALIBUT,NOHAL.OL,Euronext Growth Oslo,NOK
NORDIC MINING,NOM.OL,Euronext Expand Oslo,NOK
NORDIC NANOVECTOR,NANOV.OL,Oslo Børs,NOK
NORDIC SEMICONDUC,NOD.OL,Oslo Børs,NOK
NORDIC UNMANNED,NUMND.OL,Euronext Growth Oslo,NOK
NORSE ATLANTIC,NORSE.OL,Euronext Growth Oslo,NOK
NORSK HYDRO,NHY.OL,Oslo Børs,NOK
NORSK SOLAR,NSOL.OL,Euronext Growth Oslo,NOK
NORSK TITANIUM,NTI.OL,Euronext Growth Oslo,NOK
NORSKE SKOG,NSKOG.OL,Oslo Børs,NOK
NORTEL,NTEL.OL,Euronext Growth Oslo,NOK
NORTH ENERGY,NORTH.OL,Euronext Expand Oslo,NOK
NORTHERN DRILLING,NODL.OL,Oslo Børs,NOK
NORTHERN OCEAN LTD,NOL.OL,Oslo Børs,NOK
NORWAY ROYALSALMON,NRS.OL,Oslo Børs,NOK
NORWEGIAN AIR SHUT,NAS.OL,Oslo Børs,NOK
NORWEGIAN ENERGY,NOR.OL,Oslo Børs,NOK
NRC GROUP,NRC.OL,Oslo Børs,NOK
NTS,NTS.OL,Oslo Børs,NOK
OBSERVE MEDICAL,OBSRV.OL,Euronext Expand Oslo,NOK
OCEAN SUN,OSUN.OL,Euronext Growth Oslo,NOK
OCEAN YIELD,OCY.OL,Oslo Børs,NOK
OCEANTEAM,OTS.OL,Oslo Børs,NOK
ODFJELL DRILLING,ODL.OL,Oslo Børs,NOK
ODFJELL SER. A,ODF.OL,Oslo Børs,NOK
ODFJELL SER. B,ODFB.OL,Oslo Børs,NOK
OKEA,OKEA.OL,Oslo Børs,NOK
OKEANIS ECO TANKER,OET.OL,Oslo Børs,NOK
OLAV THON EIENDOMS,OLT.OL,Oslo Børs,NOK
ORKLA,ORK.OL,Oslo Børs,NOK
ØRN SOFTWARE HLD.,ORN.OL,Euronext Growth Oslo,NOK
OTELLO CORPORATION,OTEC.OL,Oslo Børs,NOK
OTOVO,OTOVO.OL,Euronext Growth Oslo,NOK
PANORO ENERGY,PEN.OL,Oslo Børs,NOK
PARETO BANK,PARB.OL,Oslo Børs,NOK
PATIENTSKY GROUP,PSKY.OL,Euronext Growth Oslo,NOK
PCI BIOTECH HOLD,PCIB.OL,Oslo Børs,NOK
PETROLIA,PSE.OL,Oslo Børs,NOK
PETRONOR E&P LTD,PNOR.OL,Euronext Expand Oslo,NOK
PEXIP HOLDING,PEXIP.OL,Oslo Børs,NOK
PGS,PGS.OL,Oslo Børs,NOK
PHILLY SHIPYARD,PHLY.OL,Euronext Expand Oslo,NOK
PHOTOCURE,PHO.OL,Oslo Børs,NOK
PIONEER PROPERTY,PPG.OL,Euronext Expand Oslo,NOK
PLAY MAGNUS,PMG.OL,Euronext Growth Oslo,NOK
POLARIS MEDIA,POL.OL,Oslo Børs,NOK
POLIGHT,PLT.OL,Oslo Børs,NOK
PROSAFE,PRS.OL,Oslo Børs,NOK
PROTECTOR FORSIKRG,PROT.OL,Oslo Børs,NOK
PROXIMAR SEAFOOD,PROXI.OL,Euronext Growth Oslo,NOK
PRYME,PRYME.OL,Euronext Growth Oslo,NOK
PYRUM INNOVATIONS,PYRUM.OL,Euronext Growth Oslo,NOK
Q-FREE,QFR.OL,Oslo Børs,NOK
QUANTAFUEL,QFUEL.OL,Euronext Growth Oslo,NOK
QUESTBACK GROUP,QUEST.OL,Euronext Growth Oslo,NOK
QUESTERRE ENERGY,QEC.OL,Oslo Børs,NOK
R8 PROPERTY,R8P.OL,Euronext Growth Oslo,NOK
RAK PETROLEUM,RAKP.OL,Oslo Børs,NOK
RANA GRUBER,RANA.OL,Euronext Growth Oslo,NOK
REACH SUBSEA,REACH.OL,Oslo Børs,NOK
REC SILICON,RECSI.OL,Oslo Børs,NOK
RIVER TECH,RIVER.OL,Euronext Growth Oslo,NOK
ROMERIKE SPAREBK,ROMER.OL,Euronext Growth Oslo,NOK
ROMREAL,ROM.OL,Euronext Expand Oslo,NOK
ROMSDAL SPAREBANK,ROMSB.OL,Euronext Growth Oslo,NOK
SAGA PURE,SAGA.OL,Oslo Børs,NOK
SALMAR,SALM.OL,Oslo Børs,NOK
SALMON EVOLUTION,SALME.OL,Oslo Børs,NOK
SALMONES CAMANCH,SACAM.OL,Oslo Børs,NOK
SANDNES SPAREBANK,SADG.OL,Oslo Børs,NOK
SAS AB,SASNO.OL,Oslo Børs,NOK
SATS,SATS.OL,Oslo Børs,NOK
SBANKEN,SBANK.OL,Oslo Børs,NOK
SCANA,SCANA.OL,Oslo Børs,NOK
SCATEC,SCATC.OL,Oslo Børs,NOK
SCHIBSTED SER. A,SCHA.OL,Oslo Børs,NOK
SCHIBSTED SER. B,SCHB.OL,Oslo Børs,NOK
SD STAND DRILLING,SDSD.OL,Oslo Børs,NOK
SEABIRD EXPLORAT,GEG.OL,Oslo Børs,NOK
SEADRILL,SDRL.OL,Oslo Børs,NOK
SEAWAY 7,SEAW7.OL,Euronext Growth Oslo,NOK
SELF STORAGE GROUP,SSG.OL,Oslo Børs,NOK
SELVAAG BOLIG,SBO.OL,Oslo Børs,NOK
SHELF DRILLING,SHLF.OL,Oslo Børs,NOK
SIEM OFFSHORE,SIOFF.OL,Oslo Børs,NOK
SIKRI HOLDING,SIKRI.OL,Euronext Growth Oslo,NOK
SKANDIA GREENPOWER,SKAND.OL,Euronext Growth Oslo,NOK
SKITUDE HOLDING,SKI.OL,Euronext Growth Oslo,NOK
SKUE SPAREBANK,SKUE.OL,Oslo Børs,NOK
SMARTCRAFT,SMCRT.OL,Oslo Børs,NOK
SMARTOPTICS GROUP,SMOP.OL,Euronext Growth Oslo,NOK
SOFTOX SOLUTIONS,SOFTX.OL,Euronext Growth Oslo,NOK
SOGN SPAREBANK,SOGN.OL,Oslo Børs,NOK
SOLON EIENDOM,SOLON.OL,Oslo Børs,NOK
SOLSTAD OFFSHORE,SOFF.OL,Oslo Børs,NOK
SONANS HOLDING,SOHO.OL,Euronext Growth Oslo,NOK
SPARBNK 68 GR NORD,SB68.OL,Euronext Growth Oslo,NOK
SPAREBANK 1 SMN,MING.OL,Oslo Børs,NOK
SPAREBANK 1 SØRØ,SOON.OL,Oslo Børs,NOK
SPAREBANK 1 SR-BK,SRBNK.OL,Oslo Børs,NOK
SPAREBANKEN MØRE,MORG.OL,Oslo Børs,NOK
SPAREBANKEN ØST,SPOG.OL,Oslo Børs,NOK
SPAREBANKEN SØR,SOR.OL,Oslo Børs,NOK
SPAREBANKEN VEST,SVEG.OL,Oslo Børs,NOK
SPBK 1 NORDMØRE,SNOR.OL,Oslo Børs,NOK
SPBK 1 ØSTLANDET,SPOL.OL,Oslo Børs,NOK
SPBK1 HELGELAND,HELG.OL,Oslo Børs,NOK
SPBK1 NORD-NORGE,NONG.OL,Oslo Børs,NOK
SPBK1 ØSTFOLD AKE,SOAG.OL,Oslo Børs,NOK
SPBK1 RINGERIKE,RING.OL,Oslo Børs,NOK
STATT TORSK,STATT.OL,Euronext Growth Oslo,NOK
STOLT-NIELSEN,SNI.OL,Oslo Børs,NOK
STOREBRAND,STB.OL,Oslo Børs,NOK
STRONGPOINT,STRO.OL,Oslo Børs,NOK
SUBSEA 7,SUBC.OL,Oslo Børs,NOK
SUNNDAL SPAREBANK,SUNSB.OL,Euronext Growth Oslo,NOK
TARGOVAX,TRVX.OL,Oslo Børs,NOK
TECHSTEP,TECH.OL,Oslo Børs,NOK
TECO 2030,TECO.OL,Euronext Growth Oslo,NOK
TEKNA HOLDING,TEKNA.OL,Euronext Growth Oslo,NOK
TELENOR,TEL.OL,Oslo Børs,NOK
TGS,TGS.OL,Oslo Børs,NOK
THE KINGFISH COMP,KING.OL,Euronext Growth Oslo,NOK
TIETOEVRY,TIETO.OL,Oslo Børs,NOK
TOMRA SYSTEMS,TOM.OL,Oslo Børs,NOK
TOTENS SPAREBANK,TOTG.OL,Oslo Børs,NOK
TREASURE,TRE.OL,Oslo Børs,NOK
TYSNES SPAREBANK,TYSB.OL,Euronext Growth Oslo,NOK
ULTIMOVACS,ULTI.OL,Oslo Børs,NOK
VACCIBODY,VACC.OL,Euronext Growth Oslo,NOK
VEIDEKKE,VEI.OL,Oslo Børs,NOK
VISTIN PHARMA,VISTN.OL,Oslo Børs,NOK
VOLUE,VOLUE.OL,Oslo Børs,NOK
VOSS VEKSEL OGLAND,VVL.OL,Oslo Børs,NOK
VOW,VOW.OL,Oslo Børs,NOK
VOW GREEN METALS,VGM.OL,Euronext Growth Oslo,NOK
WALLENIUS WILHELMS,WAWI.OL,Oslo Børs,NOK
WEBSTEP,WSTEP.OL,Oslo Børs,NOK
WESTERN BULK CHART,WEST.OL,Euronext Growth Oslo,NOK
WILH. WILHELMSEN A,WWI.OL,Oslo Børs,NOK
WILH. WILHELMSEN B,WWIB.OL,Oslo Børs,NOK
WILSON,WILS.OL,Oslo Børs,NOK
XPLORA TECHNOLOGIE,XPLRA.OL,Euronext Growth Oslo,NOK
XXL,XXL.OL,Oslo Børs,NOK
YARA INTERNATIONAL,YAR.OL,Oslo Børs,NOK
ZALARIS,ZAL.OL,Oslo Børs,NOK
ZAPTEC,ZAP.OL,Euronext Growth Oslo,NOK
ZENITH ENERGY,ZENA.OL,Euronext Growth Oslo,NOK
ZWIPE,ZWIPE.OL,Euronext Growth Oslo,NOK
ABO GROUP,ABO.PA,Euronext Brussels,
ADUX,ADUX.PA,Euronext Paris,
ADVICENNE,ADVIC.PA,Euronext Paris,
AEDIFICA,AED.PA,Euronext Brussels,
AHOLD DEL,AD.AS,Euronext Amsterdam,
AIR FRANCE -KLM,AF.PA,Euronext Paris,
AKKA TECHNOLOGIES,AKA.PA,Euronext Paris,
APERAM,APAM.AS,Euronext Amsterdam,
ARCELORMITTAL SA,MT.AS,Euronext Amsterdam,
ASIT,ASIT.PA,Euronext Brussels,
AUDIOVALLEY,ALAVY.PA,Euronext Growth Paris,
AVANTIUM,AVTX.AS,Euronext Amsterdam,
BONE THERAPEUTICS,BOTHE.PA,Euronext Brussels,
CELYAD ONCOLOGY,CYAD.PA,Euronext Brussels,
ENGIE,ENGI.PA,Euronext Paris,
ESPERITE,ESP.AS,Euronext Amsterdam,
EUROCOMMERCIAL,ECMPA.AS,Euronext Amsterdam,
EURONEXT,ENX.PA,Euronext Paris,
FAGRON,FAGR.PA,Euronext Brussels,
FNG NV,FNG.PA,Euronext Brussels,
GALAPAGOS,GLPG.AS,Euronext Amsterdam,
ING GROEP N.V.,INGA.AS,Euronext Amsterdam,
MONTEA,MONT.PA,Euronext Brussels,
RETAIL ESTATES,RET.PA,Euronext Brussels,
SAINT GOBAIN,SGO.PA,Euronext Paris,
SOLVAY,SOLB.PA,Euronext Brussels,
SUEZ,SEV.PA,Euronext Paris,
THERAVET,ALVET.PA,Euronext Growth Paris,
TITAN CEMENT,TITC.PA,Euronext Brussels,
TOTALENERGIES,TTE.PA,Euronext Paris,
UNIBAIL-RODAMCO-WE,URW.AS,Euronext Amsterdam,
VRANKEN-POMMERY,VRAP.PA,Euronext Paris,
WDP,WDP.PA,Euronext Brussels,
